开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）
16:00:00.000+08:00,16:15:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
16:15:00.000+08:00,16:30:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
16:30:00.000+08:00,16:45:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
16:45:00.000+08:00,17:00:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
17:00:00.000+08:00,17:15:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
17:15:00.000+08:00,17:30:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
17:30:00.000+08:00,17:45:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
17:45:00.000+08:00,18:00:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
18:00:00.000+08:00,18:15:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
18:15:00.000+08:00,18:30:00.000+08:00,,15.749999612372926,,,,,,,,,,,,,,
18:30:00.000+08:00,18:45:00.000+08:00,,15.750000521972808,32.739070892333984,,,,,,,0.3088591694831848,0.3088591694831848,0.3088591694831848,53,,,
18:45:00.000+08:00,19:00:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
19:00:00.000+08:00,19:15:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
19:15:00.000+08:00,19:30:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
19:30:00.000+08:00,19:45:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
19:45:00.000+08:00,20:00:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
20:00:00.000+08:00,20:15:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
20:15:00.000+08:00,20:30:00.000+08:00,,15.750001118240853,,,,,,,,,,,,,,
