开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）,跑步时长（毫秒）
00:00:00.000+08:00,00:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
00:15:00.000+08:00,00:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
00:30:00.000+08:00,00:45:00.000+08:00,,15.75,,,,,,,,,,,15,,,,,,
00:45:00.000+08:00,01:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
01:00:00.000+08:00,01:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
01:15:00.000+08:00,01:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
01:30:00.000+08:00,01:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
01:45:00.000+08:00,02:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
02:00:00.000+08:00,02:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
02:15:00.000+08:00,02:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
02:30:00.000+08:00,02:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
02:45:00.000+08:00,03:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
03:00:00.000+08:00,03:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
03:15:00.000+08:00,03:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
03:30:00.000+08:00,03:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
03:45:00.000+08:00,04:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
04:00:00.000+08:00,04:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
04:15:00.000+08:00,04:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
04:30:00.000+08:00,04:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
04:45:00.000+08:00,05:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
05:00:00.000+08:00,05:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
05:15:00.000+08:00,05:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
05:30:00.000+08:00,05:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
05:45:00.000+08:00,06:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
06:00:00.000+08:00,06:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
06:15:00.000+08:00,06:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
06:30:00.000+08:00,06:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,,
06:45:00.000+08:00,07:00:00.000+08:00,8,23.813144865441583,177.90287399291992,1.0,1,,,,,0.3086551096659118,0.30885916234533745,0.30845105698648617,288,,,,78287,62009,
07:00:00.000+08:00,07:15:00.000+08:00,9,52.81701693051789,92.910519483343,7.0,7,,,,,0.629919965985242,0.629919965985242,0.629919965985242,150,,,,478136,158626,
07:15:00.000+08:00,07:30:00.000+08:00,1,15.749999999999998,47.31154167388356,,,,,,,0.30885916784754575,0.30885918296117826,0.30885915273391323,89,,,,,,
07:30:00.000+08:00,07:45:00.000+08:00,7,41.55672367581319,0.6177183389663696,7.0,7,,,,,,,,1,,,,436170,,
07:45:00.000+08:00,08:00:00.000+08:00,14,67.14961902926494,,14.0,14,,,,,,,,,,,,868726,,
08:00:00.000+08:00,08:15:00.000+08:00,1,15.75,22.447491053513176,,,,,,,0.30885915900113753,0.30885915900113753,0.30885915900113753,52,,,,,,
08:15:00.000+08:00,08:30:00.000+08:00,,15.75,22.028230305739754,,,,,,,0.2573826471964518,0.2573826471964518,0.2573826471964518,36,,,,,,
08:30:00.000+08:00,08:45:00.000+08:00,11,55.504022219718095,14.825240135192871,11.0,11,,,,,1.6658088146139574,3.0184714794158936,0.3131461498120212,38,,,,671899,,
08:45:00.000+08:00,09:00:00.000+08:00,14,34.603161576668626,216.14988092019075,5.0,5,,,,,0.44466963644606183,0.7081097389461665,0.30885915084213933,350,,,,318645,,
09:00:00.000+08:00,09:15:00.000+08:00,13,37.83720856882775,307.67528006003386,,,,,,,0.44225804605193486,0.8080078105107092,0.3088591666680063,498,,,,26841,370466,
09:15:00.000+08:00,09:30:00.000+08:00,7,41.94453017550346,16.06067657470703,7.0,7,,,,,0.7218267965543321,0.7218267965543321,0.7218267965543321,38,,,,421916,22250,
09:30:00.000+08:00,09:45:00.000+08:00,3,15.749999999999998,75.97935485839844,,,,,,,0.3767193086164463,0.4445794455601244,0.30885917167276816,134,,,,,,
