开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）
13:15:00.000+08:00,13:30:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
13:30:00.000+08:00,13:45:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
13:45:00.000+08:00,14:00:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
14:00:00.000+08:00,14:15:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
14:15:00.000+08:00,14:30:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
14:30:00.000+08:00,14:45:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
14:45:00.000+08:00,15:00:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
15:00:00.000+08:00,15:15:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
15:15:00.000+08:00,15:30:00.000+08:00,,15.750000000000002,,,,,,,,,,,,,,,,
15:30:00.000+08:00,15:45:00.000+08:00,,15.75,,,,,,,,,,,16,,,,,
15:45:00.000+08:00,16:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
16:00:00.000+08:00,16:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
16:15:00.000+08:00,16:30:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
16:30:00.000+08:00,16:45:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
16:45:00.000+08:00,17:00:00.000+08:00,8,32.62650066666667,242.83642801111512,,,,,,,0.6080323467637727,0.6905397260798823,0.5255249674476632,416,,,,,304997
17:00:00.000+08:00,17:15:00.000+08:00,15,16.374563333333334,407.62101857998965,,,,,,,0.40048500532650466,0.49117575237372574,0.30979425827928353,660,,,,10556,
17:15:00.000+08:00,17:30:00.000+08:00,15,68.99999999999999,,15.0,15,,,,,,,,,,,,900000,
17:30:00.000+08:00,17:45:00.000+08:00,12,48.61246833333333,88.95144568767245,9.0,9,,,,,0.49277408528316297,0.49277408528316297,0.49277408528316297,144,,,,555422,
17:45:00.000+08:00,18:00:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
18:00:00.000+08:00,18:15:00.000+08:00,,15.75,,,,,,,,,,,,,,,,
18:15:00.000+08:00,18:30:00.000+08:00,6,29.633686666666662,129.05575850162612,,,,,,,0.30885917169416965,0.30885917169416965,0.30885917169416965,209,,,,,250910
18:30:00.000+08:00,18:45:00.000+08:00,6,15.749999999999998,120.13778655004225,,,,,,,,,,194,,,,,
18:45:00.000+08:00,19:00:00.000+08:00,7,15.749999999999998,143.0576216960539,,,,,,,0.30885917280118064,0.30885917280118064,0.30885917280118064,232,,,,,
19:00:00.000+08:00,19:15:00.000+08:00,7,15.749999999999998,153.8118748349336,,,,,,,0.3088591641875927,0.3088591641875927,0.3088591641875927,249,,,,,
19:15:00.000+08:00,19:30:00.000+08:00,13,15.749999999999998,241.8947259181571,,,,,,,0.30900611353760304,0.30900611353760304,0.30900611353760304,392,,,,,
19:30:00.000+08:00,19:45:00.000+08:00,14,64.06535866666667,52.13921954942684,12.0,12,,,,,,,,84,,,,731268,91241
19:45:00.000+08:00,20:00:00.000+08:00,14,67.960915,,14.0,14,,,,,,,,,,,,882438,
20:00:00.000+08:00,20:15:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
20:15:00.000+08:00,20:30:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
20:30:00.000+08:00,20:45:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
20:45:00.000+08:00,21:00:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
21:00:00.000+08:00,21:15:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
21:15:00.000+08:00,21:30:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
21:30:00.000+08:00,21:45:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
21:45:00.000+08:00,22:00:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
22:00:00.000+08:00,22:15:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
22:15:00.000+08:00,22:30:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
22:30:00.000+08:00,22:45:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
22:45:00.000+08:00,23:00:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
23:00:00.000+08:00,23:15:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
23:15:00.000+08:00,23:30:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
23:30:00.000+08:00,23:45:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
23:45:00.000+08:00,00:00:00.000+08:00,,15.749999999999998,,,,,,,,,,,,,,,,
