开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,步行时长（毫秒）
14:30:00.000+08:00,14:45:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
14:45:00.000+08:00,15:00:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
15:00:00.000+08:00,15:15:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
15:15:00.000+08:00,15:30:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
15:30:00.000+08:00,15:45:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
15:45:00.000+08:00,16:00:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
16:00:00.000+08:00,16:15:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
16:15:00.000+08:00,16:30:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
16:30:00.000+08:00,16:45:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
16:45:00.000+08:00,17:00:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
17:00:00.000+08:00,17:15:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
17:15:00.000+08:00,17:30:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
17:30:00.000+08:00,17:45:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
17:45:00.000+08:00,18:00:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
18:00:00.000+08:00,18:15:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
18:15:00.000+08:00,18:30:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
18:30:00.000+08:00,18:45:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
18:45:00.000+08:00,19:00:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
19:00:00.000+08:00,19:15:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
19:15:00.000+08:00,19:30:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
19:30:00.000+08:00,19:45:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
19:45:00.000+08:00,20:00:00.000+08:00,,15.7499990989433,,,,,,,,,,,,,,,
20:00:00.000+08:00,20:15:00.000+08:00,,15.74999928869563,,,,,,,,,,,14,,,,
20:15:00.000+08:00,20:30:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
20:30:00.000+08:00,20:45:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
20:45:00.000+08:00,21:00:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
21:00:00.000+08:00,21:15:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
21:15:00.000+08:00,21:30:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
21:30:00.000+08:00,21:45:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
21:45:00.000+08:00,22:00:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
22:00:00.000+08:00,22:15:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
22:15:00.000+08:00,22:30:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
22:30:00.000+08:00,22:45:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
22:45:00.000+08:00,23:00:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
23:00:00.000+08:00,23:15:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
23:15:00.000+08:00,23:30:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
23:30:00.000+08:00,23:45:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
23:45:00.000+08:00,00:00:00.000+08:00,,15.749999495943722,,,,,,,,,,,,,,,
