开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,步行时长（毫秒）
00:00:00.000+08:00,00:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
00:15:00.000+08:00,00:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
00:30:00.000+08:00,00:45:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
00:45:00.000+08:00,01:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
01:00:00.000+08:00,01:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
01:15:00.000+08:00,01:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
01:30:00.000+08:00,01:45:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
01:45:00.000+08:00,02:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
02:00:00.000+08:00,02:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
02:15:00.000+08:00,02:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
02:30:00.000+08:00,02:45:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
02:45:00.000+08:00,03:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
03:00:00.000+08:00,03:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
03:15:00.000+08:00,03:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
03:30:00.000+08:00,03:45:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
03:45:00.000+08:00,04:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
04:00:00.000+08:00,04:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
04:15:00.000+08:00,04:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
04:30:00.000+08:00,04:45:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
04:45:00.000+08:00,05:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
05:00:00.000+08:00,05:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
05:15:00.000+08:00,05:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
05:30:00.000+08:00,05:45:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
05:45:00.000+08:00,06:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
06:00:00.000+08:00,06:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
06:15:00.000+08:00,06:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
06:30:00.000+08:00,06:45:00.000+08:00,,15.749998501117568,,,,,,,,0.6257215738296509,0.6257215738296509,0.6257215738296509,,,,,
06:45:00.000+08:00,07:00:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
07:00:00.000+08:00,07:15:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
07:15:00.000+08:00,07:30:00.000+08:00,,15.749998501117568,,,,,,,,,,,,,,,
07:30:00.000+08:00,07:45:00.000+08:00,1,15.749998646129091,32.739070892333984,,,,,,,0.3088591694831848,0.3088591694831848,0.3088591694831848,66,,,,
07:45:00.000+08:00,08:00:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
08:00:00.000+08:00,08:15:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
08:15:00.000+08:00,08:30:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
08:30:00.000+08:00,08:45:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
08:45:00.000+08:00,09:00:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
09:00:00.000+08:00,09:15:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
09:15:00.000+08:00,09:30:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
09:30:00.000+08:00,09:45:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
09:45:00.000+08:00,10:00:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
10:00:00.000+08:00,10:15:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
10:15:00.000+08:00,10:30:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
10:30:00.000+08:00,10:45:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
10:45:00.000+08:00,11:00:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
11:00:00.000+08:00,11:15:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
11:15:00.000+08:00,11:30:00.000+08:00,3,15.749999087319441,84.62741470336914,,,,,,,0.3088591694831848,0.3088591694831848,0.3088591694831848,154,,,,
11:30:00.000+08:00,11:45:00.000+08:00,,15.749999087319441,45.09343910217285,,,,,,,0.3088591396808624,0.3088591396808624,0.3088591396808624,116,,,,
11:45:00.000+08:00,12:00:00.000+08:00,,15.749999087319441,,,,,,,,,,,1,,,,
12:00:00.000+08:00,12:15:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
12:15:00.000+08:00,12:30:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
12:30:00.000+08:00,12:45:00.000+08:00,,15.749999087319441,,,,,,,,,,,,,,,
12:45:00.000+08:00,13:00:00.000+08:00,6,29.85319365018648,241.12743759155273,1.0,1,,,,,0.8283635759023853,4.37290096282959,0.3088591396808624,373,,,,254877
13:00:00.000+08:00,13:15:00.000+08:00,9,34.503742581825286,500.31851959228516,5.0,3,,,,,1.405220562649445,3.4693589210510254,0.3088591694831848,687,,,,324950
13:15:00.000+08:00,13:30:00.000+08:00,,15.749998964610796,,,,,,,,11.544966632833692,18.19281005859375,3.8003509044647217,,,,,
13:30:00.000+08:00,13:45:00.000+08:00,,15.749998964610796,,,,,,,,6.015946913065623,15.132514953613281,3.0899558067321777,,,,,
13:45:00.000+08:00,14:00:00.000+08:00,,15.749998964610796,,,,,,,,11.28110852101532,15.461563110351562,4.159743309020996,,,,,
14:00:00.000+08:00,14:15:00.000+08:00,2,22.709493061893028,142.40443870488838,1.0,1,,,,,5.892968597827635,10.625565528869629,0.6922465562820435,202,,,,125774
14:15:00.000+08:00,14:30:00.000+08:00,9,46.27673312118787,662.2352402501897,2.0,1,,,,,1.3503221829288525,3.7226433753967285,0.3088591694831848,954,,,,551688
14:30:00.000+08:00,14:45:00.000+08:00,,15.749999844931816,,,,,,,,5.825114965438844,8.40057373046875,3.2496562004089355,,,,,
14:45:00.000+08:00,15:00:00.000+08:00,4,15.749999844931816,156.25237135153986,,,,,,,2.8166686422896663,5.61754846572876,0.3088591396808624,253,,,,
15:00:00.000+08:00,15:15:00.000+08:00,14,15.749999844931816,484.95609770292293,,,,,,,0.6740967102849365,1.1530053615570068,0.3088591396808624,776,,,,
15:15:00.000+08:00,15:30:00.000+08:00,12,29.820379294760862,542.2695582892873,,,,,,,0.7532073798813624,1.27359139919281,0.3893377482891083,860,,,,254284
15:30:00.000+08:00,15:45:00.000+08:00,4,27.890187563183815,168.81041912925951,,,,,,,0.4030586530156635,0.8386980891227722,0.3088591694831848,294,,,,219401
15:45:00.000+08:00,16:00:00.000+08:00,14,65.54999802225139,598.7892811839971,,,,,,,0.6781717689119877,1.0268687009811401,0.2779732346534729,966,,,,900000
16:00:00.000+08:00,16:15:00.000+08:00,6,65.54999802225139,252.61969437058127,,,,,,,0.5260778256381988,1.3595963716506958,0.3088591396808624,409,,,,900000
16:15:00.000+08:00,16:30:00.000+08:00,14,42.35208294465798,528.1313407536293,,,,,,,0.8466338500384291,2.75319504737854,0.3088591396808624,831,,,,480761
16:30:00.000+08:00,16:45:00.000+08:00,11,15.749999081612483,300.6536552790856,,,,,,,0.50241740543711,0.9281749725341797,0.3088591396808624,484,,,,
16:45:00.000+08:00,17:00:00.000+08:00,,15.749999081612483,,,,,,,,8.542714345527031,9.887090682983398,2.956522226333618,,,,,
17:00:00.000+08:00,17:15:00.000+08:00,3,15.749999081612483,101.92352676391602,,,,,,,0.5536321252584457,0.798405110836029,0.3088591396808624,165,,,,
17:15:00.000+08:00,17:30:00.000+08:00,4,15.749999081612483,94.51090621948242,,,,,,,0.3615951017675743,0.5183058381080627,0.3088591396808624,153,,,,
17:30:00.000+08:00,17:45:00.000+08:00,8,30.984372530970887,245.1373732793229,,,,,,,0.4331639401075222,1.1816045045852661,0.3088591396808624,384,,,,275320
