日期,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）,跑步时长（毫秒）
2021-10-14,15,1511.9999459685798,466.11371994018555,,,,,,,0.46467749233264694,1.026041865348816,0.3088591396808624,821,,,,,,
2021-10-15,,1511.9999110201875,,,,,,,,,,,,,,,,,
2021-10-16,,400.4519177256425,,,,,,,,,,,17,,,,,,
2021-10-18,,1512.0001038572882,,,,,,,,,,,,,,,,,
2021-10-19,,1511.9999430068467,53.74149513244629,,,,,,,0.29048916371722144,0.3088591396808624,0.2676779329776764,176,,,,,,
2021-10-20,,1511.9999575009829,33.35679054260254,,,,,,,0.2779732346534729,0.2985638380050659,0.2573826313018799,116,,,,,,
2021-10-21,78,1775.963789484226,3701.741542339325,16.0,11,,,,,0.7746816822497729,12.506258010864258,0.2676779329776764,5746,,,,63663,4702358,
2021-10-22,6,1511.9999255270372,300.81041717529297,1.0,1,,,,,0.31325126398983977,2.3737289905548096,0.2985638380050659,567,,,,,,
2021-10-23,144,1802.7316047918032,5847.950284004211,10.0,7,,,,,1.2828913211978883,18.19281005859375,0.2779732346534729,9096,,,,,5240215,
2021-10-24,3,1514.2081233453657,75.97935676574707,,,,,,,0.3095990860765448,0.4727412462234497,0.3088591694831848,221,,,,,39907,
2021-10-25,130,1723.2655409581366,5224.984002590179,17.0,14,,,,,1.7333267908992445,21.407808303833008,0.2676779329776764,8203,,,,,3818051,
2021-10-26,35,1605.929785035071,1504.6070671081543,4.0,2,,,,,6.506835117989822,19.60823631286621,0.305614709854126,2387,,,,,1666625,
2021-10-27,123,1743.8403229370615,4549.797491550446,11.0,8,,,,,1.8151258557802892,19.580419540405273,0.24712499976158142,7319,,,,,4189886,
2021-10-28,44,1611.6059387420823,1786.7747502326965,6.0,4,,,,,2.2584118289901287,20.232145309448242,0.25798049569129944,2825,,,,,1800109,
2021-10-29,65,1569.9659711508616,2280.218168258667,1.0,1,,,,,1.8506123185034724,15.456738471984863,0.2573826313018799,3697,,,,,1046041,
2021-10-30,92,1630.3847551021572,3666.6487250328064,8.0,7,,,,,0.5761014715656357,2.444098472595215,0.24994662404060364,5846,,,,,2139486,
2021-10-31,38,1606.3060129679168,1510.7400224208832,3.0,2,,,,,0.6249832678310093,7.449059963226318,0.2912558615207672,2429,,,,,1704327,
2021-11-01,20,1514.8393978314637,638.151294708252,,,,,,,0.524467464007067,15.13733196258545,0.2779732346534729,1084,,,,,51313,
2021-11-02,66,1700.6655526181155,3131.3370695114136,19.0,14,,,,,4.962915280485737,20.055957794189453,0.2882685363292694,4782,,,,,3198483,90942
2021-11-03,49,1595.1968406838084,1619.378758430481,1.0,1,,,,,1.99508033962149,21.673364639282227,0.2985638380050659,2867,,,,,1503558,
2021-11-04,51,1538.1981921771805,1567.6581535339355,,,,,,,0.4208082941927735,0.9344605803489685,0.2573826313018799,2731,,,,,473462,
2021-11-05,5,1522.3190104814923,124.77910232543945,,,,,,,0.39086461061240807,0.4728700518608093,0.3088591396808624,278,,,,,186490,
2021-11-06,21,1511.9999356485985,687.5205020904541,,,,,,,0.3534433981623917,0.5478152632713318,0.30305248498916626,1249,,,,,,
2021-11-07,26,1539.4272397059244,802.2039011716843,,,,,,,0.3156188788832623,0.7849253416061401,0.2779732346534729,1443,,,,,495674,
2021-11-08,8,1511.9999165144598,255.73539543151855,,,,,,,0.3045942076900942,0.3718685805797577,0.2985638380050659,468,,,,,,
2021-11-09,43,1516.998963838286,1549.9565677642822,1.0,1,,,,,0.3524473847942865,1.2073605060577393,0.2573826313018799,2704,,,,,90343,
2021-11-10,72,1574.237870476265,2495.9639072418213,2.0,2,,,,,5.907163487998809,22.153209686279297,0.3088591396808624,4107,,,,,1124783,
2021-11-11,17,1552.7950165565403,530.6200561523438,,,,,,,0.989301586080853,1.7930471897125244,0.3088591396808624,973,,,,,737261,
2021-11-12,6,1511.9999421789416,241.52787160873413,,,,,,,0.32112900475547207,0.6554400324821472,0.30080506205558777,652,,,,,,
2021-11-13,104,1630.3108159872036,3956.9714794158936,11.0,8,,,,,0.3788799814317071,2.1900086402893066,0.2779732346534729,6313,,,,,2138149,
2021-11-14,69,1657.3584554899953,2507.349682569504,2.0,2,,,,,0.48054910505103354,4.394687652587891,0.26546671986579895,4083,,,,,2626961,
2021-11-15,24,1542.1227267347645,851.994411110878,3.0,2,,,,,7.050229213306274,23.3471736907959,0.3088591694831848,1375,,,,,544388,
2021-11-16,20,1546.813585723156,682.9905700683594,,,,,,,9.25489430614044,21.614057540893555,0.27006322145462036,1197,,,,,629162,
2021-11-17,25,1534.309869278291,888.9099006652832,,,,,,,0.38559514247778415,0.9554162621498108,0.306690514087677,1538,,,,,403191,
2021-11-18,29,1533.539776299869,1123.0579686164856,1.0,1,,,,,0.3990994074102049,1.3486584424972534,0.2573826313018799,1970,,,,,389275,
2021-11-19,54,1545.1001126709548,1936.8454872369766,3.0,3,,,,,4.6762377581413945,22.191085815429688,0.2676779329776764,3294,,,,,598196,
2021-11-20,46,1553.4222109487791,1581.9211707115173,1.0,1,,,,,0.44735688705019855,1.200955867767334,0.2573826313018799,2752,,,,,748595,
2021-11-21,10,1536.6932389413107,376.19046211242676,,,,,,,0.31500809053441553,0.8556594252586365,0.25824224948883057,747,,,,,446264,
2021-11-22,16,1575.7754267264659,867.0348701477051,3.0,2,,,,,0.4856352559485837,2.463759422302246,0.2573826313018799,1294,,,,,1152569,
2021-11-23,19,1573.8114769738872,456.4938545227051,5.0,5,,,,,0.3179424485760369,0.716921865940094,0.30454376339912415,847,,,,327307,767094,
2021-11-24,11,1573.7965756197807,448.1426498889923,,,,,,,0.3922922933734964,0.8374907374382019,0.2676779329776764,806,,,,,478596,279718
2021-11-25,41,1655.7046410576538,1456.664300918579,2.0,2,,,,,0.4119212437775983,2.942650556564331,0.2985638380050659,2371,,,,,2597074,
2021-11-26,93,1615.1899972709457,3260.4231379032135,,,,,,,0.37227273483633916,1.8796210289001465,0.2779732346534729,5736,,,,,1864881,
2021-11-27,73,1591.1931966468462,2378.6293902397156,,,,,,,0.3351780968052926,1.2201249599456787,0.2543627619743347,4355,,,,,1431204,
2021-11-28,32,1535.988764415291,963.0228824615479,,,,,,,0.6342520434248033,3.1627588272094727,0.2779732346534729,1687,,,,,433533,
2021-11-29,21,1563.6084481126625,378.61693382263184,10.0,10,,,,,1.0763885291914663,2.01151180267334,0.3088591396808624,713,,,,660000,226962,
2021-11-30,2,1511.9999703517701,65.47814178466797,,,,,,,0.3879307359457016,0.46700233221054077,0.3088591396808624,159,,,,,,
2021-12-01,90,1632.3192343988583,3282.645377635956,3.0,2,,,,,0.5377661109065274,2.026331663131714,0.2779732346534729,5370,,,,,2174446,
2021-12-02,14,1551.8676360751247,511.4429225921631,,,,,,,0.36180673149957465,0.7335603833198547,0.302591472864151,859,,,,,,315784
2021-12-03,33,1547.5968136721247,1058.1515274047852,,,,,,,0.6358957927364814,1.2123662233352661,0.2882685363292694,1849,,,,,643317,
2021-12-04,76,1612.4205871739534,2582.8100361824036,5.0,4,,,,,3.45598708083963,15.289308547973633,0.2573826313018799,4184,,,,,1814830,
2021-12-05,9,1515.9520513875639,317.5072250366211,,,,,,,1.7870240546803593,15.432470321655273,0.3088591396808624,667,,,,,71425,
2021-12-06,27,1533.0914114625111,831.448872089386,,,,,,,2.4086531745824025,13.849675178527832,0.2573826313018799,1431,,,,,381172,
2021-12-07,29,1595.1294460322451,1393.285901069641,6.0,4,,,,,4.773230306951289,22.024839401245117,0.27834486961364746,2277,,,,,1502340,
2021-12-08,1,1511.9999670750885,51.270620346069336,,,,,,,0.43217290937900543,0.5554866790771484,0.3088591396808624,107,,,,,,
2021-12-09,41,1628.9981291246336,616.4828987121582,24.0,24,,,,,0.3002457835872585,0.5289275646209717,0.2676779329776764,1107,,,,1486906,524510,
2021-12-10,23,1511.9998846647395,630.6103074550629,,,,,,,0.4357270006356598,1.9646108150482178,0.2883220911026001,1097,,,,,,
2021-12-11,67,1550.9996800353122,2016.4915380477905,,,,,,,0.45699610271431174,1.1827994585037231,0.2985638380050659,3617,,,,,704814,
2021-12-12,11,1511.999840440561,342.2159614562988,,,,,,,0.2874045199718555,0.6086323261260986,0.2573826313018799,615,,,,,,
2021-12-13,13,1516.519715710564,383.1818313598633,,,,,,,0.5281759401582761,0.9185968637466431,0.3088591396808624,706,,,,,81683,
2021-12-14,18,1570.701382206692,631.1853260993958,,,,,,,0.3292325926735108,1.0013988018035889,0.2573826313018799,1204,,,,,1060869,
2021-12-15,4,1516.2680248453494,237.82155990600586,,,,,,,0.30847589645152146,0.7005828022956848,0.2573826313018799,503,,,,,77135,
2021-12-16,,1511.9999990138685,17.91383171081543,,,,,,,0.2985638380050659,0.2985638380050659,0.2985638380050659,172,,,,,,
2021-12-17,3,1520.6236466692455,154.42958545684814,,,,,,,0.3395114193101337,0.6573373079299927,0.3088591396808624,273,,,,,155848,
2021-12-18,19,1526.4376884016629,966.8733406066895,4.0,4,,,,,0.5261791032072644,1.4945991039276123,0.2573826313018799,1673,,,,,260923,
2021-12-19,7,1524.7756392085653,281.6795644760132,,,,,,,0.3210874297526413,0.5065790414810181,0.2663499712944031,510,,,,,230886,
2021-12-20,41,1604.63706235197,1559.4476251602173,,,,,,,0.8880254135540466,3.0274856090545654,0.26931387186050415,2677,,,,,1674164,
2021-12-21,28,1570.3002405641435,914.8218908309937,,,,,,,1.330873189223214,5.1377153396606445,0.2985638380050659,1598,,,,,1053620,
2021-12-22,43,1591.4178998557034,1679.872269153595,,,,,,,3.0392143856242666,23.507286071777344,0.27531513571739197,2898,,,,,1435265,
2021-12-23,5,1520.9907301189326,161.22448539733887,,,,,,,6.607254078441876,23.633825302124023,0.3088591694831848,334,,,,,162485,
2021-12-24,26,1519.950895793293,814.4610471725464,,,,,,,0.33147626654815465,1.0306155681610107,0.2985638380050659,1407,,,,,143692,
2021-12-25,59,1630.3088748126654,2062.476421356201,8.0,6,,,,,5.1599010452369924,24.28232765197754,0.2573826313018799,3068,,,,,2138115,
2021-12-26,14,1522.965143673142,424.1308641433716,,,,,,,0.3173998611657356,0.9149758219718933,0.2779732346534729,728,,,,,198165,
2021-12-27,4,1513.673746219208,120.45508003234863,,,,,,,1.9164163241802858,3.8112411499023438,0.289380818605423,321,,,,,30248,
2021-12-28,2,1511.9999675388142,95.12862396240234,,,,,,,0.32768344858522364,0.46781957149505615,0.29782724380493164,251,,,,,,
2021-12-29,31,1548.5499884944993,975.9949703216553,,,,,,,0.6175379377565272,10.262507438659668,0.27134671807289124,1761,,,,,660543,
